region,layer,status,error_message,row_count,null_geometry_count,invalid_geometry_count,empty_geometry_count,geometry_type_counts,null_pct_by_column,duplicate_geoid_count,expected_row_count,row_count_matches_expected
eastern-ok,overture-pois,ok,,207369,0,0,0,"{""Point"": 207369}","{""id"": 0.0, ""categories"": 0.040960799348022124, ""confidence"": 0.0, ""websites"": 0.22778718130482375, ""emails"": 0.5922100217486702, ""socials"": 0.33093181719543424, ""phones"": 0.103824583230859, ""brand"": 0.34235589697592217, ""addresses"": 0.0, ""names"": 0.0, ""sources"": 0.0, ""operating_status"": 0.3188856579334423, ""basic_category"": 0.030404737448702555, ""taxonomy"": 0.040960799348022124, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
eastern-ok,overture-roads,ok,,520550,0,0,0,"{""LineString"": 520335, ""MultiLineString"": 215}","{""id"": 0.0, ""names"": 0.2849255595043704, ""subtype"": 0.0, ""class"": 0.0, ""subclass"": 0.9838901162232254, ""subclass_rules"": 0.9838901162232254, ""connectors"": 0.0, ""road_surface"": 0.8110575352992028, ""road_flags"": 0.9645893766208817, ""rail_flags"": 1.0, ""width_rules"": 0.9998866583421381, ""level_rules"": 0.9849332436845644, ""access_restrictions"": 0.880603208145231, ""speed_limits"": 0.5557717798482374, ""prohibited_transitions"": 0.9912534818941504, ""routes"": 0.8794890020170973, ""destinations"": 0.9736624723849774, ""sources"": 0.0, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
south-central-tx,census-cbp,ok,,6010,0,0,0,"{""Polygon"": 6010}","{""GEOID"": 0.0, ""STATEFP"": 0.0, ""COUNTYFP"": 0.0, ""TRACTCE"": 0.0, ""cbp_estab"": 0.0, ""cbp_estab_res"": 0.0, ""cbp_estab_bus"": 0.0}",0,,
south-central-tx,census-tiger-roads,ok,,986610,0,0,0,"{""LineString"": 986434, ""MultiLineString"": 176}","{""LINEARID"": 0.0, ""FULLNAME"": 0.40413841335482104, ""RTTYP"": 0.40487832071436536, ""MTFCC"": 0.0}",,,
south-central-tx,hifld-ems-stations,ok,,422,0,0,0,"{""Point"": 422}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.14218009478672985}",,,
south-central-tx,hifld-fire-stations,ok,,2408,0,0,0,"{""Point"": 2408}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0004152823920265781, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.11461794019933555}",,,
south-central-tx,hifld-hospitals,ok,,490,0,0,0,"{""Point"": 490}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.15918367346938775}",,,
south-central-tx,hifld-schools,ok,,7940,0,0,0,"{""Point"": 7940}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.9420654911838791}",,,
south-central-tx,microsoft-buildings,ok,,10619119,0,69,0,"{""Polygon"": 10619118, ""MultiPolygon"": 1}","{""height"": 0.0, ""confidence"": 0.0}",,,
south-central-tx,overture-buildings,ok,,11463801,0,0,0,"{""Polygon"": 11463177, ""MultiPolygon"": 624}","{""id"": 0.0, ""names"": 0.9922534419430344, ""sources"": 0.0, ""level"": 0.9986576877948248, ""height"": 0.2581578308974484, ""min_height"": 0.9999955512137728, ""is_underground"": 0.0, ""num_floors"": 0.9958202344929051, ""num_floors_underground"": 0.999993632129518, ""min_floor"": 0.9999823793172963, ""subtype"": 0.8031824697585033, ""class"": 0.8054797880737811, ""facade_color"": 0.9999447827121214, ""facade_material"": 0.9998025087839539, ""roof_material"": 0.9999845600948586, ""roof_shape"": 0.9966247669512058, ""roof_direction"": 0.9999919747385706, ""roof_orientation"": 0.9999815070062713, ""roof_color"": 0.9999166070660159, ""roof_height"": 0.9975215026848425, ""has_parts"": 0.0, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
south-central-tx,overture-pois,ok,,1300334,0,0,0,"{""Point"": 1300334}","{""id"": 0.0, ""categories"": 0.060832832180039896, ""confidence"": 0.0, ""websites"": 0.19415780868607604, ""emails"": 0.6014670077072506, ""socials"": 0.357897278699165, ""phones"": 0.09532550867700144, ""brand"": 0.37243200593078396, ""addresses"": 0.0, ""names"": 0.0, ""sources"": 0.0, ""operating_status"": 0.32501188156273697, ""basic_category"": 0.050676210881204366, ""taxonomy"": 0.060832832180039896, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
south-central-tx,overture-roads,ok,,1937009,0,0,0,"{""LineString"": 1936660, ""MultiLineString"": 349}","{""id"": 0.0, ""names"": 0.17856447750113708, ""subtype"": 0.0, ""class"": 0.0, ""subclass"": 0.9703336432613374, ""subclass_rules"": 0.9703336432613374, ""connectors"": 0.0, ""road_surface"": 0.7448179125651971, ""road_flags"": 0.953309458035559, ""rail_flags"": 1.0, ""width_rules"": 0.9994703173810757, ""level_rules"": 0.9834894933374083, ""access_restrictions"": 0.7325520944920751, ""speed_limits"": 0.8235325700603353, ""prohibited_transitions"": 0.9933469591519709, ""routes"": 0.9007015455271503, ""destinations"": 0.9792701014812012, ""sources"": 0.0, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
maricopa-az,strata/census-tracts,ok,,1593,0,0,0,"{""Polygon"": 1593}","{""GEOID"": 0.0, ""STATEFP"": 0.0, ""COUNTYFP"": 0.0, ""TRACTCE"": 0.0, ""NAMELSAD"": 0.0, ""ALAND"": 0.0, ""pop_total"": 0.0, ""pop_urban"": 0.0, ""pop_rural"": 0.0, ""pct_urban"": 0.006905210295040804, ""ur_class"": 0.006905210295040804, ""frac_inside_aoi"": 0.0}",0,1593,True
northern-ca,strata/census-tracts,ok,,591,0,0,0,"{""Polygon"": 591}","{""GEOID"": 0.0, ""STATEFP"": 0.0, ""COUNTYFP"": 0.0, ""TRACTCE"": 0.0, ""NAMELSAD"": 0.0, ""ALAND"": 0.0, ""pop_total"": 0.0, ""pop_urban"": 0.0, ""pop_rural"": 0.0, ""pct_urban"": 0.0, ""ur_class"": 0.0, ""frac_inside_aoi"": 0.0}",0,591,True
eastern-ok,strata/census-tracts,ok,,1192,0,0,0,"{""Polygon"": 1192}","{""GEOID"": 0.0, ""STATEFP"": 0.0, ""COUNTYFP"": 0.0, ""TRACTCE"": 0.0, ""NAMELSAD"": 0.0, ""ALAND"": 0.0, ""pop_total"": 0.0, ""pop_urban"": 0.0, ""pop_rural"": 0.0, ""pct_urban"": 0.0008389261744966443, ""ur_class"": 0.0008389261744966443, ""frac_inside_aoi"": 0.0}",0,1192,True
south-central-tx,strata/census-tracts,ok,,6010,0,0,0,"{""Polygon"": 6010}","{""GEOID"": 0.0, ""STATEFP"": 0.0, ""COUNTYFP"": 0.0, ""TRACTCE"": 0.0, ""NAMELSAD"": 0.0, ""ALAND"": 0.0, ""pop_total"": 0.0, ""pop_urban"": 0.0, ""pop_rural"": 0.0, ""pct_urban"": 0.0034941763727121466, ""ur_class"": 0.0034941763727121466, ""frac_inside_aoi"": 0.0}",0,6010,True
